size;processes;read_time;merge_time;elapsed;user;sys
1048576;0;0.001955;0.143506;0.15;0.14;0.00
1048576;0;0.001886;0.141239;0.15;0.13;0.00
1048576;0;0.001890;0.143249;0.15;0.14;0.00
1048576;0;0.002363;0.151810;0.16;0.14;0.00
1048576;0;0.002577;0.144546;0.16;0.14;0.00
1048576;0;0.002019;0.141413;0.15;0.14;0.00
1048576;0;0.002121;0.142251;0.15;0.13;0.00
1048576;0;0.002032;0.141160;0.15;0.14;0.00
1048576;0;0.002026;0.140786;0.15;0.14;0.00
1048576;0;0.002022;0.141480;0.15;0.14;0.00
1048576;0;0.002154;0.141086;0.15;0.14;0.00
1048576;0;0.002095;0.141098;0.16;0.14;0.00
1048576;0;0.002060;0.141350;0.16;0.14;0.00
1048576;0;0.002150;0.141664;0.16;0.13;0.01
1048576;0;0.002054;0.140878;0.16;0.14;0.00
1048576;0;0.002130;0.140740;0.16;0.13;0.00
1048576;0;0.002095;0.140670;0.15;0.14;0.00
1048576;0;0.002137;0.140799;0.16;0.14;0.00
1048576;0;0.002061;0.141307;0.16;0.14;0.00
1048576;0;0.002064;0.140860;0.16;0.14;0.00
1048576;0;0.001904;0.140553;0.15;0.14;0.00
1048576;0;0.001872;0.140460;0.15;0.14;0.00
1048576;0;0.002158;0.141266;0.16;0.13;0.00
1048576;0;0.002096;0.140832;0.16;0.14;0.00
1048576;0;0.001943;0.141844;0.16;0.13;0.00
1048576;0;0.001898;0.140820;0.15;0.14;0.00
1048576;0;0.001896;0.140414;0.15;0.14;0.00
1048576;0;0.001917;0.140307;0.15;0.14;0.00
1048576;0;0.001871;0.140827;0.15;0.14;0.00
1048576;0;0.001990;0.140916;0.15;0.14;0.00
1048576;0;0.001974;0.140867;0.15;0.14;0.00
1048576;0;0.000824;0.143240;0.15;0.14;0.00
1048576;0;0.002047;0.140513;0.15;0.14;0.00
1048576;0;0.000837;0.142975;0.15;0.14;0.00
1048576;0;0.002010;0.140574;0.15;0.14;0.00
1048576;0;0.001868;0.140526;0.15;0.14;0.00
1048576;0;0.001986;0.140400;0.15;0.14;0.00
1048576;0;0.001955;0.140409;0.15;0.14;0.00
1048576;0;0.001968;0.140900;0.15;0.14;0.00
1048576;0;0.001985;0.140291;0.15;0.14;0.00
1048576;0;0.001972;0.140732;0.15;0.14;0.00
1048576;0;0.001973;0.140606;0.15;0.13;0.00
1048576;0;0.001979;0.140478;0.15;0.14;0.00
1048576;0;0.001966;0.141152;0.15;0.14;0.00
1048576;0;0.001849;0.140538;0.15;0.14;0.00
