size;processes;read_time;merge_time;elapsed;user;sys
65536;2;0.004317;0.001761;0.01;0.02;0.00
65536;2;0.004243;0.001761;0.01;0.02;0.00
65536;2;0.004195;0.001759;0.01;0.01;0.00
65536;2;0.004189;0.001753;0.01;0.02;0.00
65536;2;0.004425;0.001781;0.01;0.01;0.00
65536;2;0.004165;0.001793;0.01;0.01;0.00
65536;2;0.004338;0.001754;0.01;0.01;0.00
65536;2;0.004362;0.001773;0.01;0.02;0.00
65536;2;0.004074;0.001775;0.01;0.02;0.00
65536;2;0.004947;0.001765;0.01;0.01;0.00
65536;2;0.004437;0.001963;0.01;0.01;0.00
65536;2;0.004101;0.001752;0.01;0.02;0.00
65536;2;0.004342;0.001747;0.01;0.00;0.01
65536;2;0.004170;0.001745;0.01;0.01;0.00
65536;2;0.004234;0.001759;0.01;0.02;0.00
65536;2;0.004133;0.001734;0.01;0.01;0.00
65536;2;0.004136;0.001756;0.01;0.02;0.00
65536;2;0.004475;0.001745;0.01;0.01;0.00
65536;2;0.004523;0.001756;0.01;0.01;0.01
65536;2;0.004785;0.001746;0.01;0.00;0.02
65536;2;0.004238;0.001789;0.01;0.01;0.00
65536;2;0.004450;0.001757;0.01;0.01;0.00
65536;2;0.004396;0.001761;0.01;0.01;0.01
65536;2;0.004050;0.001798;0.01;0.01;0.00
65536;2;0.004020;0.001756;0.01;0.00;0.01
65536;2;0.004197;0.001746;0.01;0.01;0.00
65536;2;0.004648;0.001746;0.01;0.01;0.00
65536;2;0.004602;0.001748;0.01;0.02;0.00
65536;2;0.004516;0.001758;0.01;0.02;0.00
65536;2;0.004329;0.001768;0.01;0.01;0.01
65536;2;0.004770;0.001761;0.01;0.01;0.00
65536;2;0.004179;0.002086;0.01;0.02;0.00
65536;2;0.004119;0.001762;0.01;0.02;0.00
65536;2;0.004440;0.001783;0.01;0.01;0.00
65536;2;0.004600;0.001776;0.01;0.02;0.00
65536;2;0.004158;0.001749;0.01;0.02;0.00
65536;2;0.004206;0.001769;0.01;0.02;0.00
65536;2;0.004335;0.001747;0.01;0.01;0.00
65536;2;0.004032;0.001862;0.01;0.01;0.00
65536;2;0.004514;0.001818;0.01;0.01;0.00
65536;2;0.004394;0.001986;0.01;0.01;0.00
65536;2;0.004431;0.001855;0.01;0.01;0.00
65536;2;0.004564;0.001851;0.01;0.01;0.00
65536;2;0.003777;0.001774;0.01;0.01;0.00
65536;2;0.004378;0.001753;0.01;0.00;0.01
65536;2;0.004243;0.001758;0.01;0.01;0.00
65536;2;0.004296;0.001781;0.01;0.01;0.00
65536;2;0.004133;0.001735;0.01;0.00;0.01
65536;2;0.004132;0.001770;0.01;0.00;0.01
65536;2;0.004280;0.001756;0.01;0.02;0.00
65536;2;0.004419;0.001748;0.01;0.01;0.00
65536;2;0.004645;0.001742;0.01;0.01;0.00
65536;2;0.004512;0.001759;0.01;0.02;0.00
65536;2;0.004517;0.001762;0.01;0.02;0.00
65536;2;0.004491;0.001813;0.01;0.02;0.00
65536;2;0.005457;0.001744;0.01;0.02;0.00
65536;2;0.004557;0.001767;0.01;0.01;0.00
65536;2;0.004067;0.001763;0.01;0.01;0.00
65536;2;0.004187;0.001742;0.01;0.02;0.00
65536;2;0.004449;0.001756;0.01;0.02;0.00
65536;2;0.004810;0.001758;0.01;0.02;0.00
65536;2;0.004285;0.001750;0.01;0.02;0.00
65536;2;0.004590;0.001779;0.01;0.00;0.01
65536;2;0.004356;0.001841;0.01;0.01;0.00
65536;2;0.004495;0.001775;0.01;0.01;0.00
65536;2;0.004396;0.001817;0.01;0.01;0.00
65536;2;0.004636;0.001822;0.01;0.01;0.00
65536;2;0.004551;0.001750;0.01;0.01;0.00
65536;2;0.004632;0.001762;0.01;0.01;0.00
65536;2;0.004491;0.001747;0.01;0.00;0.01
65536;2;0.004513;0.001764;0.01;0.01;0.01
65536;2;0.004115;0.001747;0.01;0.02;0.00
65536;2;0.004284;0.001751;0.01;0.02;0.00
65536;2;0.004289;0.001732;0.01;0.01;0.00
65536;2;0.004517;0.001758;0.01;0.00;0.01
65536;2;0.004377;0.001767;0.01;0.00;0.01
65536;2;0.004539;0.001745;0.01;0.02;0.00
65536;2;0.004241;0.001762;0.01;0.02;0.00
65536;2;0.004702;0.001768;0.01;0.01;0.00
65536;2;0.004601;0.001762;0.01;0.01;0.00
65536;2;0.004454;0.001756;0.01;0.02;0.00
65536;2;0.004566;0.001745;0.01;0.02;0.00
65536;2;0.004272;0.001758;0.01;0.02;0.00
65536;2;0.003773;0.001837;0.01;0.01;0.00
65536;2;0.004441;0.001890;0.01;0.01;0.00
65536;2;0.003990;0.001747;0.01;0.01;0.00
65536;2;0.004506;0.001751;0.01;0.00;0.02
65536;2;0.004466;0.001746;0.01;0.01;0.00
65536;2;0.004326;0.001747;0.01;0.00;0.01
65536;2;0.004468;0.001749;0.01;0.02;0.00
65536;2;0.004383;0.001771;0.01;0.02;0.00
65536;2;0.004737;0.001763;0.01;0.02;0.00
65536;2;0.004524;0.001748;0.01;0.02;0.00
65536;2;0.004391;0.002035;0.01;0.01;0.00
65536;2;0.004296;0.001742;0.01;0.02;0.00
65536;2;0.004471;0.001778;0.01;0.02;0.00
65536;2;0.004629;0.001774;0.01;0.02;0.00
65536;2;0.004454;0.002080;0.01;0.02;0.00
65536;2;0.004394;0.001782;0.01;0.02;0.00
65536;2;0.004609;0.002010;0.01;0.00;0.01
