size;processes;read_time;local_sort_time;merge_time;elapsed;user;sys
1048576;0;0.002021;0;0.088874;0.10;0.09;0.00
1048576;0;0.002178;0;0.087062;0.10;0.09;0.00
1048576;0;0.004137;0;0.087973;0.10;0.09;0.00
1048576;0;0.000987;0;0.087607;0.10;0.08;0.00
1048576;0;0.001966;0;0.087583;0.10;0.09;0.00
1048576;0;0.002167;0;0.087186;0.10;0.07;0.01
1048576;0;0.001908;0;0.087176;0.10;0.08;0.00
1048576;0;0.002162;0;0.086805;0.10;0.07;0.00
1048576;0;0.001962;0;0.087227;0.10;0.09;0.00
1048576;0;0.002128;0;0.086743;0.10;0.08;0.00
1048576;0;0.001948;0;0.086699;0.10;0.08;0.00
1048576;0;0.002033;0;0.086903;0.10;0.08;0.00
1048576;0;0.001898;0;0.086746;0.10;0.08;0.00
1048576;0;0.002159;0;0.086385;0.10;0.08;0.00
1048576;0;0.002101;0;0.086305;0.10;0.08;0.00
1048576;0;0.002108;0;0.086303;0.10;0.08;0.00
1048576;0;0.002011;0;0.086659;0.10;0.08;0.00
1048576;0;0.001968;0;0.087109;0.10;0.08;0.00
1048576;0;0.002174;0;0.086636;0.10;0.08;0.00
1048576;0;0.002133;0;0.086506;0.10;0.08;0.00
1048576;0;0.002159;0;0.086494;0.10;0.07;0.00
1048576;0;0.001965;0;0.086751;0.10;0.08;0.00
1048576;0;0.002162;0;0.086898;0.10;0.08;0.00
1048576;0;0.002099;0;0.086654;0.10;0.08;0.00
1048576;0;0.002035;0;0.086506;0.10;0.08;0.00
1048576;0;0.002139;0;0.087488;0.10;0.09;0.00
1048576;0;0.002154;0;0.086552;0.10;0.08;0.00
1048576;0;0.002101;0;0.086724;0.10;0.08;0.00
1048576;0;0.002130;0;0.087024;0.10;0.09;0.00
1048576;0;0.002142;0;0.087341;0.10;0.08;0.00
1048576;0;0.002118;0;0.086409;0.10;0.08;0.00
1048576;0;0.000987;0;0.087298;0.10;0.07;0.00
1048576;0;0.002020;0;0.086692;0.10;0.08;0.00
1048576;0;0.000905;0;0.087189;0.10;0.07;0.00
1048576;0;0.002137;0;0.086529;0.10;0.08;0.00
1048576;0;0.000879;0;0.087231;0.10;0.08;0.00
1048576;0;0.002129;0;0.086527;0.10;0.07;0.01
1048576;0;0.001970;0;0.087274;0.10;0.09;0.00
1048576;0;0.001894;0;0.086643;0.10;0.08;0.00
1048576;0;0.001925;0;0.086508;0.10;0.08;0.00
1048576;0;0.001924;0;0.086839;0.10;0.08;0.00
1048576;0;0.002134;0;0.086477;0.10;0.08;0.00
1048576;0;0.002141;0;0.086649;0.10;0.08;0.00
1048576;0;0.002005;0;0.086493;0.10;0.08;0.00
1048576;0;0.002173;0;0.087137;0.10;0.09;0.00
1048576;0;0.001962;0;0.086675;0.10;0.08;0.00
1048576;0;0.002148;0;0.087254;0.10;0.09;0.00
1048576;0;0.002111;0;0.086516;0.10;0.07;0.00
1048576;0;0.002092;0;0.086834;0.10;0.08;0.00
1048576;0;0.001940;0;0.087503;0.10;0.09;0.00
1048576;0;0.000883;0;0.087373;0.10;0.08;0.00
1048576;0;0.002206;0;0.086999;0.10;0.08;0.01
1048576;0;0.002125;0;0.086594;0.10;0.08;0.00
1048576;0;0.001947;0;0.086764;0.10;0.08;0.00
1048576;0;0.002013;0;0.086594;0.10;0.08;0.00
1048576;0;0.002182;0;0.087677;0.10;0.09;0.00
1048576;0;0.002027;0;0.086701;0.10;0.07;0.00
1048576;0;0.002016;0;0.086771;0.10;0.08;0.00
1048576;0;0.001944;0;0.086808;0.10;0.08;0.00
1048576;0;0.001954;0;0.086596;0.10;0.08;0.00
1048576;0;0.001979;0;0.086693;0.10;0.08;0.00
1048576;0;0.001992;0;0.086617;0.10;0.08;0.00
1048576;0;0.002167;0;0.086583;0.10;0.08;0.00
1048576;0;0.001952;0;0.087012;0.10;0.08;0.00
1048576;0;0.001975;0;0.086488;0.10;0.07;0.00
1048576;0;0.002022;0;0.087164;0.10;0.08;0.00
1048576;0;0.001967;0;0.086960;0.10;0.08;0.00
1048576;0;0.002110;0;0.086248;0.10;0.07;0.00
1048576;0;0.002102;0;0.087121;0.10;0.09;0.00
1048576;0;0.001936;0;0.086913;0.10;0.08;0.00
1048576;0;0.002168;0;0.086646;0.10;0.08;0.00
1048576;0;0.002086;0;0.086817;0.10;0.08;0.00
1048576;0;0.002124;0;0.086517;0.10;0.08;0.00
1048576;0;0.002055;0;0.086620;0.10;0.08;0.00
1048576;0;0.001967;0;0.086930;0.10;0.08;0.00
1048576;0;0.002141;0;0.086769;0.10;0.08;0.00
1048576;0;0.002022;0;0.087454;0.10;0.09;0.00
1048576;0;0.001937;0;0.086792;0.10;0.08;0.00
1048576;0;0.002167;0;0.086562;0.10;0.08;0.00
1048576;0;0.002142;0;0.086624;0.10;0.08;0.00
1048576;0;0.002058;0;0.086642;0.10;0.08;0.00
1048576;0;0.002160;0;0.086693;0.10;0.08;0.00
1048576;0;0.002120;0;0.087372;0.10;0.09;0.00
1048576;0;0.002092;0;0.086868;0.10;0.08;0.00
1048576;0;0.002266;0;0.086417;0.10;0.08;0.00
1048576;0;0.002044;0;0.086656;0.10;0.08;0.00
1048576;0;0.002070;0;0.086728;0.10;0.08;0.00
1048576;0;0.002095;0;0.086787;0.10;0.08;0.00
1048576;0;0.002099;0;0.086664;0.10;0.08;0.00
1048576;0;0.002004;0;0.086439;0.10;0.08;0.00
1048576;0;0.002010;0;0.086915;0.10;0.08;0.00
1048576;0;0.002066;0;0.086800;0.10;0.08;0.00
1048576;0;0.002022;0;0.086836;0.10;0.07;0.00
1048576;0;0.002028;0;0.086646;0.10;0.08;0.00
1048576;0;0.002033;0;0.086772;0.10;0.08;0.00
