size;processes;read_time;local_sort_time;merge_time;elapsed;user;sys
262144;2;0.005754;0.007779;0.014246;0.02;0.03;0.00
262144;2;0.006209;0.007831;0.013791;0.02;0.00;0.03
262144;2;0.006653;0.007953;0.013347;0.02;0.03;0.00
262144;2;0.006947;0.008050;0.013053;0.02;0.03;0.00
262144;2;0.006993;0.007827;0.013007;0.02;0.03;0.00
262144;2;0.007036;0.007741;0.012964;0.02;0.02;0.00
262144;2;0.006550;0.007883;0.01345;0.02;0.03;0.00
262144;2;0.006940;0.007944;0.01306;0.02;0.03;0.00
262144;2;0.007206;0.007926;0.012794;0.02;0.02;0.00
262144;2;0.006836;0.007755;0.013164;0.02;0.01;0.01
262144;2;0.006547;0.007826;0.013453;0.02;0.03;0.00
262144;2;0.006621;0.007876;0.013379;0.02;0.03;0.00
262144;2;0.006998;0.008168;0.013002;0.02;0.03;0.00
262144;2;0.007273;0.007857;0.012727;0.02;0.02;0.00
262144;2;0.007002;0.007879;0.012998;0.02;0.03;0.00
262144;2;0.006746;0.007788;0.013254;0.02;0.03;0.00
262144;2;0.006911;0.007820;0.013089;0.02;0.03;0.00
262144;2;0.006144;0.008017;0.013856;0.02;0.01;0.01
262144;2;0.006059;0.008092;0.013941;0.02;0.02;0.00
262144;2;0.006636;0.007780;0.013364;0.02;0.03;0.00
262144;2;0.007444;0.007861;0.012556;0.02;0.00;0.03
262144;2;0.006881;0.007871;0.013119;0.02;0.03;0.00
262144;2;0.007186;0.007934;0.012814;0.02;0.01;0.01
262144;2;0.006549;0.007832;0.013451;0.02;0.03;0.00
262144;2;0.006658;0.008012;0.013342;0.02;0.02;0.00
262144;2;0.006775;0.007844;0.013225;0.02;0.02;0.01
262144;2;0.006134;0.007985;0.013866;0.02;0.03;0.00
262144;2;0.006523;0.007876;0.013477;0.02;0.02;0.00
262144;2;0.007349;0.007835;0.012651;0.02;0.02;0.01
262144;2;0.006405;0.007823;0.013595;0.02;0.02;0.00
262144;2;0.006886;0.007908;0.013114;0.02;0.03;0.00
262144;2;0.006214;0.007811;0.013786;0.02;0.02;0.00
262144;2;0.006873;0.007871;0.013127;0.02;0.01;0.01
262144;2;0.006863;0.008000;0.013137;0.02;0.01;0.01
262144;2;0.006307;0.008004;0.013693;0.02;0.02;0.00
262144;2;0.006582;0.007840;0.013418;0.02;0.03;0.00
262144;2;0.006807;0.007927;0.013193;0.02;0.02;0.01
262144;2;0.006993;0.007884;0.013007;0.02;0.03;0.00
262144;2;0.007014;0.007986;0.012986;0.02;0.03;0.00
262144;2;0.006046;0.008022;0.013954;0.02;0.03;0.00
262144;2;0.005927;0.008107;0.014073;0.02;0.03;0.00
262144;2;0.006788;0.007875;0.013212;0.02;0.03;0.00
262144;2;0.007291;0.008006;0.012709;0.02;0.03;0.00
262144;2;0.006424;0.007779;0.013576;0.02;0.02;0.00
262144;2;0.007139;0.007842;0.012861;0.02;0.03;0.00
262144;2;0.006652;0.007975;0.013348;0.02;0.02;0.00
262144;2;0.005648;0.007770;0.014352;0.02;0.02;0.01
262144;2;0.005834;0.007821;0.014166;0.02;0.03;0.00
262144;2;0.005813;0.007943;0.014187;0.02;0.03;0.00
262144;2;0.006338;0.007790;0.013662;0.02;0.02;0.00
262144;2;0.005997;0.007971;0.014003;0.02;0.03;0.00
262144;2;0.006858;0.007981;0.013142;0.02;0.03;0.00
262144;2;0.006585;0.007899;0.013415;0.02;0.03;0.00
262144;2;0.006227;0.007773;0.013773;0.02;0.03;0.00
262144;2;0.005940;0.008185;0.01406;0.02;0.03;0.00
262144;2;0.006043;0.007777;0.013957;0.02;0.02;0.01
262144;2;0.007288;0.007859;0.012712;0.02;0.03;0.00
262144;2;0.006442;0.008039;0.013558;0.02;0.02;0.01
262144;2;0.006873;0.007964;0.013127;0.02;0.03;0.00
262144;2;0.006271;0.007844;0.013729;0.02;0.01;0.01
262144;2;0.007230;0.007922;0.01277;0.02;0.03;0.00
262144;2;0.006706;0.008106;0.013294;0.02;0.03;0.00
262144;2;0.006965;0.008050;0.013035;0.02;0.03;0.00
262144;2;0.006861;0.008000;0.013139;0.02;0.01;0.01
262144;2;0.006601;0.007890;0.013399;0.02;0.03;0.00
262144;2;0.006676;0.007964;0.013324;0.02;0.03;0.00
262144;2;0.006175;0.007979;0.013825;0.02;0.02;0.00
262144;2;0.005723;0.007846;0.014277;0.02;0.03;0.00
262144;2;0.005894;0.007848;0.014106;0.02;0.03;0.00
262144;2;0.006569;0.007841;0.013431;0.02;0.02;0.00
262144;2;0.006108;0.007876;0.013892;0.02;0.02;0.00
262144;2;0.006037;0.007914;0.013963;0.02;0.02;0.00
262144;2;0.007404;0.007987;0.012596;0.02;0.03;0.00
262144;2;0.006169;0.007892;0.013831;0.02;0.02;0.00
262144;2;0.006982;0.008026;0.013018;0.02;0.03;0.00
262144;2;0.006695;0.007789;0.013305;0.02;0.03;0.00
262144;2;0.007326;0.008007;0.012674;0.02;0.02;0.00
262144;2;0.007270;0.008212;0.01273;0.02;0.02;0.00
262144;2;0.006044;0.007972;0.013956;0.02;0.03;0.00
262144;2;0.006367;0.007903;0.013633;0.02;0.03;0.00
262144;2;0.006535;0.007873;0.013465;0.02;0.03;0.00
262144;2;0.006457;0.007730;0.013543;0.02;0.02;0.00
262144;2;0.006887;0.007828;0.013113;0.02;0.03;0.00
262144;2;0.007363;0.008036;0.012637;0.02;0.03;0.00
262144;2;0.006486;0.007804;0.013514;0.02;0.03;0.00
262144;2;0.006721;0.007799;0.013279;0.02;0.01;0.02
262144;2;0.005962;0.007920;0.014038;0.02;0.01;0.01
262144;2;0.006589;0.007886;0.013411;0.02;0.03;0.00
262144;2;0.006138;0.007816;0.013862;0.02;0.01;0.01
262144;2;0.006582;0.008052;0.013418;0.02;0.02;0.00
262144;2;0.006675;0.007764;0.013325;0.02;0.03;0.00
262144;2;0.006670;0.007847;0.01333;0.02;0.02;0.00
262144;2;0.006781;0.007960;0.013219;0.02;0.02;0.01
262144;2;0.007096;0.007887;0.012904;0.02;0.03;0.00
262144;2;0.006939;0.007849;0.013061;0.02;0.02;0.00
262144;2;0.006634;0.007829;0.013366;0.02;0.03;0.00
262144;2;0.006886;0.007952;0.013114;0.02;0.02;0.01
262144;2;0.006792;0.008050;0.013208;0.02;0.03;0.00
262144;2;0.006526;0.008019;0.013474;0.02;0.03;0.00
262144;2;0.006365;0.008264;0.013635;0.02;0.03;0.00
