size;processes;read_time;local_sort_time;merge_time;elapsed;user;sys
16777216;16;0.507968;0.326150;1.192032;1.70;18.16;0.48
16777216;16;0.598444;0.373867;1.331556;1.93;20.67;0.58
16777216;16;0.628141;0.336209;1.411859;2.04;22.04;0.49
16777216;16;0.634325;0.307127;1.025675;1.66;17.79;0.53
16777216;16;0.498683;0.419752;1.491317;1.99;21.73;0.59
16777216;16;0.628678;0.308181;1.151322;1.78;19.65;0.49
16777216;16;0.468632;0.314629;1.411368;1.88;20.11;0.54
16777216;16;0.656719;0.321427;1.453281;2.11;22.96;0.56
16777216;16;0.627930;0.316649;1.32207;1.95;21.50;0.40
16777216;16;0.660082;0.312706;1.239918;1.90;20.65;0.53
